code,system
B30z000,readv2
BBV4.00,readv2
BBV2.00,readv2
BBV..12,readv2
BBV1.00,readv2
BBV3.00,readv2
BBV5.00,readv2
B302100,readv2
B306300,readv2
B302200,readv2
B306400,readv2
B303400,readv2
B302000,readv2
BBZG.11,readv2
BBY1.00,readv2
BBY1.11,readv2
B300C00,readv2
B304400,readv2
B308300,readv2
B304300,readv2
B301.00,readv2
B306000,readv2
B307200,readv2
B307000,readv2
B308200,readv2
B306200,readv2
B303000,readv2
B300A00,readv2
B304200,readv2
B303500,readv2
B304100,readv2
B300B00,readv2
B303300,readv2
B307100,readv2
B308100,readv2
B306100,readv2
B306500,readv2
B305z00,readv2
B300100,readv2
B300500,readv2
B305.00,readv2
B300200,readv2
B300300,readv2
B300800,readv2
B300600,readv2
B307z00,readv2
B300900,readv2
B307.00,readv2
B300000,readv2
B300700,readv2
B300400,readv2
BBV1.12,readv2
BBW4.00,readv2
BBW4.11,readv2
BBV9.00,readv2
BBW9.00,readv2
Byu3100,readv2
B30..00,readv2
B30W.00,readv2
B30z.00,readv2
B30X.00,readv2
Byu3200,readv2
Byu3.00,readv2
50152.0,readv2
72443.0,readv2
29337.0,readv2
50402.0,readv2
100267.0,readv2
68055.0,readv2
50298.0,readv2
95458.0,readv2
92382.0,readv2
58949.0,readv2
98483.0,readv2
44609.0,readv2
24539.0,readv2
73296.0,readv2
72464.0,readv2
43614.0,readv2
54691.0,readv2
62630.0,readv2
4473.0,readv2
22561.0,readv2
16075.0,readv2
17475.0,readv2
50299.0,readv2
62104.0,readv2
105275.0,readv2
73556.0,readv2
37842.0,readv2
8660.0,readv2
61741.0,readv2
43151.0,readv2
60631.0,readv2
46939.0,readv2
55595.0,readv2
54493.0,readv2
53599.0,readv2
49862.0,readv2
38593.0,readv2
40966.0,readv2
92371.0,readv2
49023.0,readv2
63659.0,readv2
69146.0,readv2
56513.0,readv2
65880.0,readv2
18314.0,readv2
67763.0,readv2
54747.0,readv2
73530.0,readv2
44452.0,readv2
98559.0,readv2
63571.0,readv2
51237.0,readv2
103354.0,readv2
60403.0,readv2
4118.0,readv2
95182.0,readv2
32372.0,readv2
63300.0,readv2
21447.0,readv2
16704.0,readv2
40814.0,readv2
105797.0,readv2
49491.0,readv2
49054.0,readv2
99665.0,readv2
71810.0,readv2
31673.0,readv2
52684.0,readv2
7941.0,readv2
59520.0,readv2
46741.0,readv2
67430.0,readv2
59310.0,readv2
106069.0,readv2
49701.0,readv2
40749.0,readv2
66908.0,readv2
55953.0,readv2
50859.0,readv2
54631.0,readv2
67451.0,readv2
96445.0,readv2
19437.0,readv2
5052.0,readv2
51921.0,readv2
68220.0,readv2
105475.0,readv2
94427.0,readv2
38938.0,readv2
53594.0,readv2
86812.0,readv2
68730.0,readv2
68956.0,readv2
59223.0,readv2
69927.0,readv2
33833.0,readv2
59036.0,readv2
57988.0,readv2
93175.0,readv2
64848.0,readv2
97593.0,readv2
108638.0,readv2
69104.0,readv2
34878.0,readv2
27528.0,readv2
66639.0,readv2
72212.0,readv2
C40,readv2
B303z00,readv2
B303.00,readv2
B303200,readv2
B300z00,readv2
B300.00,readv2
BBY0.11,readv2
BBV..13,readv2
BBY0.00,readv2
BBZN.00,readv2
BBZN.11,readv2
BBV1.13,readv2
BBV1.11,readv2
BBZ2.00,readv2
B303100,readv2
B306z00,readv2
B306.00,readv2
BBW8.00,readv2
BBZ2.11,readv2
BBX1.12,readv2
B304000,readv2
BBVA.00,readv2
B302z00,readv2
B302.00,readv2
B308800,readv2
B308B00,readv2
B305C00,readv2
B305100,readv2
B305000,readv2
B305.12,readv2
B305.11,readv2
B305A00,readv2
B304z00,readv2
B304.00,readv2
BBX1.11,readv2
BBX1.00,readv2
B305D00,readv2
B308D00,readv2
Byu3300,readv2
C41,readv2
BBV..11,readv2
BBW6.00,readv2
BBZC.00,readv2
BBZG.00,readv2
B308.00,readv2
B308z00,readv2
ZV10y11,readv2
46282.0,readv2